Unnamed: 0,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferredOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromLastYear,OrderCount,DaySinceLastOrder,CashbackAmount
1594,5,Desktop,0,0,Installment,Female,0,1,Home Appliances,1,0,1.0,0,0.0,1,173.0,0.0
1475,10,Desktop,0,0,Installment,Male,0,1,Electronics,2,0,1.0,1,0.0,2,140.0,0.0
588,12,Desktop,0,0,No Payment,Male,0,1,No Order,3,0,0.0,0,0.0,0,0.0,0.0
2120,2,Desktop,0,0,Installment,Male,0,1,Electronics,5,0,1.0,0,0.0,1,78.0,0.0
2010,3,Desktop,0,0,Pay Now,Male,0,1,Home Appliances,5,0,1.0,1,0.0,1,102.0,0.0
1239,12,Desktop,0,0,Installment,Female,0,1,Home Appliances,5,0,1.0,1,0.0,1,121.0,0.0
1419,12,Desktop,0,0,Pay on Delivery,Female,0,1,Home Appliances,4,0,2.0,1,0.0,1,86.0,0.0
370,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0.0,1,0.0,0,0.0,0.0
2184,2,Desktop,0,0,Pay on Delivery,Female,0,1,Home Appliances,1,0,1.0,0,0.0,1,64.0,0.0
1494,9,Desktop,0,0,Installment,Male,0,1,Others,1,0,1.0,1,0.0,3,62.0,0.0
1750,4,Desktop,0,0,Pay on Delivery,Female,0,1,Home Appliances,1,0,1.0,0,0.0,4,143.0,9989.0
1821,4,Desktop,0,0,Installment,Female,0,1,Electronics,4,0,2.0,0,0.0,3,104.0,0.0
858,12,Desktop,0,0,No Payment,Female,0,1,No Order,1,0,0.0,1,0.0,0,0.0,0.0
1766,4,Desktop,0,0,Mips,Female,0,1,Beauty & Fitness,5,0,1.0,0,0.0,1,141.0,0.0
1489,9,Desktop,0,0,Pay Now,Female,0,1,Home Appliances,1,0,2.0,0,0.0,2,50.0,0.0
730,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0.0,0,0.0,0,0.0,0.0
944,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0.0,0,0.0,0,0.0,0.0
514,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0.0,1,0.0,0,0.0,0.0
24,12,Desktop,0,0,No Payment,Female,0,1,No Order,5,0,0.0,1,0.0,0,0.0,0.0
1942,3,Desktop,0,0,Mips,Female,0,1,Others,2,0,1.0,0,0.0,1,114.0,0.0
846,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0.0,0,0.0,0,0.0,0.0
1874,3,Desktop,0,0,Installment,Male,0,1,Electronics,2,0,1.0,1,0.0,3,92.0,0.0
2134,2,Desktop,0,0,Pay Now,Female,0,1,Beauty & Fitness,5,0,1.0,1,0.0,1,78.0,0.0
1252,12,Desktop,0,0,Bank Transfer Payment,Female,0,1,Electronics,1,0,2.0,1,0.0,2,165.0,0.0
1056,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0.0,1,0.0,0,0.0,0.0
916,12,Desktop,0,0,No Payment,Female,0,1,No Order,1,0,0.0,1,0.0,0,0.0,0.0
409,12,Desktop,0,0,No Payment,Male,0,1,No Order,5,0,0.0,1,0.0,0,0.0,0.0
300,12,Desktop,0,0,No Payment,Female,0,1,No Order,1,0,0.0,0,0.0,0,0.0,0.0
2127,2,Desktop,0,0,Pay on Delivery,Male,0,1,Home Appliances,4,0,1.0,1,0.0,1,78.0,0.0
42,12,Desktop,0,0,No Payment,Male,0,1,No Order,5,0,0.0,1,0.0,0,0.0,0.0
544,12,Desktop,0,0,No Payment,Female,0,1,No Order,5,0,0.0,1,0.0,0,0.0,0.0
1315,12,Desktop,0,0,Installment,Female,0,1,Electronics,3,0,0.0,0,0.0,2,117.0,0.0
1884,3,Desktop,0,0,Installment,Male,0,1,Electronics,2,0,1.0,1,0.0,1,96.0,0.0
1545,6,Desktop,0,0,Installment,Female,0,1,Electronics,5,0,1.0,0,0.0,4,147.0,0.0
1946,3,Desktop,0,0,Pay on Delivery,Male,0,1,Others,4,0,2.0,0,0.0,2,113.0,0.0
755,12,Desktop,0,0,No Payment,Female,0,1,No Order,5,0,0.0,0,0.0,0,0.0,0.0
2088,2,Desktop,0,0,Mips,Male,0,1,Home Appliances,5,0,1.0,1,0.0,1,85.0,0.0
472,12,Desktop,0,0,No Payment,Female,0,1,No Order,5,0,0.0,1,0.0,0,0.0,0.0
144,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0.0,1,0.0,0,0.0,0.0
981,12,Desktop,0,0,No Payment,Female,0,1,No Order,3,0,0.0,0,0.0,0,0.0,0.0
99,12,Desktop,0,0,No Payment,Female,0,1,No Order,5,0,0.0,1,0.0,0,0.0,0.0
633,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0.0,0,0.0,0,0.0,0.0
1435,12,Desktop,0,0,Pay Now,Female,0,1,Electronics,3,0,2.0,0,0.0,1,94.0,0.0
223,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0.0,1,0.0,0,0.0,0.0
549,12,Desktop,0,0,No Payment,Female,0,1,No Order,1,0,0.0,1,0.0,0,0.0,0.0
2206,1,Desktop,0,0,Installment,Female,0,1,Home Appliances,2,0,1.0,0,0.0,1,57.0,0.0
1362,12,Desktop,0,0,Pay Now,Female,0,1,Home Appliances,5,0,2.0,1,0.0,1,101.0,0.0
2327,0,Desktop,0,0,Bank Transfer Payment,Female,0,1,Electronics,4,0,1.0,1,0.0,1,29.0,0.0
1558,5,Desktop,0,0,Installment,Female,0,1,Home Appliances,3,0,1.0,1,0.0,1,183.0,0.0
1956,3,Desktop,0,0,Mips,Male,0,1,Electronics,4,0,1.0,0,0.0,1,113.0,0.0
446,12,Desktop,0,0,No Payment,Female,0,1,No Order,1,0,0.0,0,0.0,0,0.0,0.0
1885,3,Desktop,0,0,Installment,Female,0,1,Electronics,2,0,1.0,0,0.0,1,120.0,0.0
602,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0.0,1,0.0,0,0.0,0.0
1779,4,Desktop,0,0,Pay on Delivery,Female,0,1,Electronics,1,0,2.0,0,0.0,57,6.0,0.0
433,12,Desktop,0,0,No Payment,Male,0,1,No Order,5,0,0.0,0,0.0,0,0.0,0.0
652,12,Desktop,0,0,No Payment,Male,0,1,No Order,4,0,0.0,1,0.0,0,0.0,0.0
448,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0.0,0,0.0,0,0.0,0.0
1635,5,Desktop,0,0,Installment,Female,0,1,Electronics,4,0,1.0,0,0.0,1,166.0,0.0
1689,5,Desktop,0,0,Mips,Female,0,1,Others,1,0,1.0,0,0.0,1,155.0,0.0
394,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0.0,1,0.0,0,0.0,0.0
357,12,Desktop,0,0,No Payment,Male,0,1,No Order,4,0,0.0,0,0.0,0,0.0,0.0
252,12,Desktop,0,0,No Payment,Male,0,1,No Order,4,0,0.0,0,0.0,0,0.0,0.0
1229,12,Desktop,0,0,Installment,Female,0,1,Home Appliances,5,0,1.0,0,0.0,1,178.0,0.0
64,12,Desktop,0,0,No Payment,Female,0,1,No Order,3,0,0.0,1,0.0,0,0.0,0.0
507,12,Desktop,0,0,No Payment,Female,0,1,No Order,5,0,0.0,1,0.0,0,0.0,0.0
1638,5,Desktop,0,0,Bank Transfer Payment,Female,0,1,Electronics,5,0,1.0,1,0.0,1,166.0,0.0
947,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0.0,0,0.0,0,0.0,0.0
1027,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0.0,1,0.0,0,0.0,0.0
738,12,Desktop,0,0,No Payment,Female,0,1,No Order,3,0,0.0,0,0.0,0,0.0,0.0
276,12,Desktop,0,0,No Payment,Female,0,1,No Order,4,0,0.0,1,0.0,0,0.0,0.0
778,12,Desktop,0,0,No Payment,Female,0,1,No Order,3,0,0.0,1,0.0,0,0.0,0.0
